"module","donoraware_beta","donoraware_SE","donoraware_df","donoraware_CI_low","donoraware_CI_high","donoraware_P","naive_beta","naive_SE","naive_df","naive_CI_low","naive_CI_high","naive_P","sample_n","donor_n","random_intercept_variance","residual_variance","ICC","singular_fit","donoraware_formula","naive_formula","donoraware_BH_FDR","naive_BH_FDR","beta_change","SE_change","naive_SE_over_donoraware_SE","significance_transition"
"hepatic_inflammatory_module",-0.0750246974611715,0.203536805014183,41.9022926442991,-0.485806977244778,0.335757582322435,0.714277983722647,-0.0842166686922746,0.112024974558028,Inf,-0.303781584195026,0.135348246810476,0.452892786015962,263,48,0.400717922622813,0.433000021994691,0.480639675815849,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.856394496832669,0.00919197123110319,0.0915118304561547,0.550391731609534,"not_FDR<0.05 to not_FDR<0.05"
"hepatic_complement_coagulation_module",0.0858054295057025,0.199635050151377,40.6728849990152,-0.317464229965787,0.489075088977192,0.669601448770388,0.0636190017815665,0.119121279813346,Inf,-0.16985441644491,0.297092420008043,0.593764495249094,263,48,0.353639457180336,0.586644452155206,0.376098594976742,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.865992068064972,0.022186427724136,0.0805137703380311,0.596695218214537,"not_FDR<0.05 to not_FDR<0.05"
"hepatic_lipid_dysregulation_module",0.06900583875721,0.170671556354204,41.4674529437513,-0.275554401692112,0.413566079206532,0.688055674287824,0.0623846838889986,0.110723382542974,Inf,-0.154629158141681,0.279398525919678,0.573644288082984,263,48,0.23396575017965,0.560021362489541,0.294671974451971,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.865992068064972,0.00662115486821144,0.0599481738112301,0.648751232532172,"not_FDR<0.05 to not_FDR<0.05"
"hepatic_ECM_fibrosis_module",0.0420540708457804,0.149869918378239,40.8403922732396,-0.26065029604032,0.34475843773188,0.780430900555692,0.0322248711436611,0.102005335769443,Inf,-0.167701913195363,0.232151655482685,0.752329592440138,263,48,0.166746909753682,0.505216923993548,0.248148637440518,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.865992068064972,0.00982919970211933,0.0478645826087962,0.680625817864287,"not_FDR<0.05 to not_FDR<0.05"
"hepatic_mitochondrial_dysfunction_module",0.193668868632371,0.178365096078805,41.533395230508,-0.166406312457273,0.553744049722016,0.283829421153623,0.152466933706892,0.0862341820610588,Inf,-0.0165489573690538,0.321482824782837,0.0782613766402314,263,48,0.334666443008765,0.189271380048719,0.638752211199012,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.808846277973725,0.0412019349254799,0.0921309140177459,0.483470050793789,"not_FDR<0.05 to not_FDR<0.05"
"hepatic_acute_phase_response_module",0.13478675354657,0.200504542295227,41.1897680800971,-0.270083736177459,0.539657243270599,0.505185881228894,0.121979898781327,0.11189885057542,Inf,-0.0973378182579261,0.34129761582058,0.276714444925554,263,48,0.381921231790955,0.457222769443569,0.455131933528791,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.856394496832669,0.012806854765243,0.0886056917198061,0.558086362006994,"not_FDR<0.05 to not_FDR<0.05"
"hepatic_endothelial_vascular_activation_module",0.159578307976418,0.197163991926043,41.0395291680424,-0.238590804528134,0.55774742048097,0.422971155079147,0.146266502619045,0.117543650212111,Inf,-0.0841148184080659,0.376647823646155,0.214523562380936,263,48,0.346305428753572,0.564905555295703,0.380049664474683,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.856394496832669,0.0133118053573734,0.0796203417139328,0.596171994002847,"not_FDR<0.05 to not_FDR<0.05"
"hepatic_secretome_hepatokine_module",0.0178647920504161,0.136773052284773,38.2418467306422,-0.258960284676972,0.294689868777804,0.896763529909734,0.0100350639369304,0.107850408784185,Inf,-0.201347852997995,0.221417980871856,0.925940838499185,263,48,0.0973963233389721,0.644714887128742,0.131242220795436,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.928910517909446,0.0078297281134857,0.0289226435005881,0.788535511802657,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_turquoise",-0.0588385146768424,0.139058756441598,39.5937605474625,-0.33997659819587,0.222299568842185,0.674497321582169,-0.063078859140435,0.0847975015524109,Inf,-0.22927890816214,0.10312118988127,0.457644285767079,263,48,0.166814803688008,0.310171307150726,0.349726752828673,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.856394496832669,0.00424034446359258,0.0542612548891869,0.609796202140096,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_red",0.197651701561055,0.221765178963867,41.8397888903906,-0.249939324646721,0.645242727768831,0.377883577381393,0.168811033237956,0.10938594988179,Inf,-0.0455814889450556,0.383203555420967,0.124022353527446,263,48,0.513258870689752,0.314271002224496,0.620230021282795,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.808846277973725,0.0288406683230992,0.112379229082077,0.493251241664106,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_brown",0.0320788107655498,0.146336131441649,42.3229175825721,-0.263172718056633,0.327330339587733,0.827537766544296,0.0218700820850915,0.101012217269914,Inf,-0.176110225762474,0.219850389932657,0.828765960405782,263,48,0.155832589434787,0.498582518760486,0.23812498746329,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.904108320442672,0.0102087286804582,0.0453239141717351,0.690275301627692,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_yellow",0.0864104454653701,0.108536957271159,41.3907916481028,-0.132721553828977,0.305542444759717,0.430494253367721,0.0788773465159792,0.0788402767376481,Inf,-0.0756467564209819,0.23340144945294,0.318042716435189,263,48,0.0770283512507936,0.321135385478736,0.193458982185307,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.856394496832669,0.00753309894939086,0.0296966805335105,0.726391071943181,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_blue",0.0998369752996301,0.115514893672472,41.3922367875045,-0.133382967994273,0.333056918593533,0.392416313139882,0.0919386249964404,0.0777944341370422,Inf,-0.0605356641098356,0.244412914102716,0.238393147925684,263,48,0.100997652432856,0.289731356296514,0.258485165361269,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.856394496832669,0.00789835030318974,0.03772045953543,0.673458042195134,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_pink",-0.0258969435673031,0.122431804345345,42.1632702680475,-0.272945985436418,0.221152098301811,0.833499573389352,-0.0322087486243141,0.104309278873292,Inf,-0.236651178469312,0.172233681220684,0.757743059556851,263,48,0.0568085799572574,0.631909522939555,0.0824845168412377,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.865992068064972,0.00631180505701093,0.0181225254720524,0.851978613163831,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_black",0.027484622641343,0.131728073628006,39.9576116106879,-0.238756543204998,0.293725788487684,0.835784068099949,0.0408932292983395,0.0991495194445478,Inf,-0.153436257897428,0.235222716494107,0.680367592716656,263,48,0.103733693341476,0.525565498294113,0.16484002318812,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.865992068064972,-0.0134086066569966,0.0325785541834583,0.752683286969954,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_green",0.197269944143784,0.186602780737047,41.3817758289061,-0.179476459799571,0.57401634808714,0.296568828111882,0.142946797568985,0.095283517491201,Inf,-0.043805465034061,0.329699060172031,0.134807712995621,263,48,0.354121799656164,0.271815831362129,0.565746141640452,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.808846277973725,0.0543231465747993,0.0913192632458456,0.51062217355416,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_purple",-0.029801487243875,0.103564356806122,42.1876532974789,-0.238775282144903,0.179172307657153,0.774940787809983,-0.0357920923440334,0.0777656898695182,Inf,-0.1882100437212,0.116625859033134,0.645729668808322,263,48,0.0648649345930782,0.320822211862235,0.16818018227785,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)","score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z",0.911073736970306,0.865992068064972,0.00599060510015835,0.0257986669366033,0.75089241383597,"not_FDR<0.05 to not_FDR<0.05"
