"dataset","module","beta","SE","df","CI_low","CI_high","P","sample_n","donor_n","formula","mapping","BH_FDR"
"GSE48350","WGCNA_cyan",0.457316851727937,0.155750177638625,68.0419795362607,0.146525683143718,0.768108020312155,0.00452902946108117,253,84,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","strict one-to-one official symbol; highest-IQR probe",0.0543483535329741
"GSE48350","WGCNA_tan",0.125099578482212,0.153895120403259,70.2742262126877,-0.181813505092046,0.43201266205647,0.419027429650961,253,84,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","strict one-to-one official symbol; highest-IQR probe",0.716290405135817
"GSE48350","WGCNA_lightcyan",0.178978729071901,0.202109778702591,80.1056081808713,-0.223224408450315,0.581181866594116,0.378509557132373,253,84,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","strict one-to-one official symbol; highest-IQR probe",0.698786874705919
"GSE48350","WGCNA_midnightblue",0.216864668262647,0.176785086425657,72.443179080568,-0.135513130683797,0.569242467209091,0.22390234062139,253,84,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","strict one-to-one official symbol; highest-IQR probe",0.516051169240537
"GSE33000","hepatic_inflammatory_module",0.979097535742182,0.0988454542934649,Inf,0.785364005291491,1.17283106619287,4.16518880800983e-21,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",1.99929062784472e-20
"GSE33000","hepatic_complement_coagulation_module",0.982647736887629,0.0917331626891862,Inf,0.80285404182887,1.16244143194639,4.52760699067278e-24,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",5.43312838880733e-23
"GSE33000","hepatic_lipid_dysregulation_module",0.17775350333146,0.124707754494412,Inf,-0.0666692040704507,0.42217621073337,0.154726808048091,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",0.176830637769247
"GSE33000","hepatic_ECM_fibrosis_module",0.997504842708788,0.09623745974013,Inf,0.80888288765451,1.18612679776307,8.87074790840638e-23,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",7.0965983267251e-22
"GSE33000","hepatic_mitochondrial_dysfunction_module",-1.0953190946189,0.0955926251075569,Inf,-1.28267719701735,-0.907960992220446,6.23567269792716e-27,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",1.49656144750252e-25
"GSE33000","hepatic_acute_phase_response_module",0.936651252762667,0.0978675422433334,Inf,0.744834394710281,1.12846811081505,6.40730415149702e-20,467,,"score_z ~ diagnosis + age_z + sex","strict one-to-one official symbol; highest-IQR probe",2.56292166059881e-19
