"dataset","tissue","module","original_size","detectable_size","coverage_fraction","effect","SE","CI_low","CI_high","P","empirical_P_abs_effect","singular_fit","B","seed","formula","empirical_BH_FDR_abs_effect"
"GSE102556_brain","brain","hepatic_inflammatory_module",446,438,0.982062780269058,-0.189420072489874,0.222246479734707,-0.625023172769899,0.246183027790152,0.398777723055374,0.240379810094953,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","hepatic_complement_coagulation_module",76,76,1,0.217379759872173,0.232202183242103,-0.237736519282349,0.672496039026694,0.349187790553172,0.20439780109945,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","hepatic_lipid_dysregulation_module",339,335,0.988200589970501,0.1222410323571,0.187165744863166,-0.244603827574705,0.489085892288906,0.513681189004251,0.871564217891054,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","hepatic_ECM_fibrosis_module",345,339,0.982608695652174,-0.00022673472292445,0.161990677809545,-0.317728463229632,0.317274993783784,0.998883219218561,0.999500249875062,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","hepatic_mitochondrial_dysfunction_module",252,234,0.928571428571429,0.187713399722892,0.181545300028873,-0.168115388333699,0.543542187779483,0.301147598039994,0.597701149425287,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","hepatic_acute_phase_response_module",270,269,0.996296296296296,0.155965544552394,0.213195611043267,-0.261897853092409,0.573828942197197,0.46443670244577,0.589705147426287,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","hepatic_endothelial_vascular_activation_module",82,79,0.963414634146341,0.139324498786532,0.188527397266376,-0.230189199855565,0.50883819742863,0.459898132831223,0.342328835582209,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","hepatic_secretome_hepatokine_module",97,94,0.969072164948454,0.0839032858386024,0.142388166427388,-0.195177520359078,0.362984092036283,0.555688593167294,0.735632183908046,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","WGCNA_turquoise",5967,5328,0.892911010558069,-0.0870444777678593,0.123448782895181,-0.329004092242415,0.154915136706696,0.480744271616868,0.955022488755622,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","WGCNA_red",1040,942,0.905769230769231,0.246654156286554,0.21513927952539,-0.17501883158321,0.668327144156318,0.251594146963085,0.0134932533733133,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.32383808095952
"GSE102556_brain","brain","WGCNA_brown",1832,1607,0.877183406113537,0.0479799598895574,0.136451025548017,-0.219464050184555,0.31542396996367,0.725117490778807,0.95352323838081,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","WGCNA_yellow",1245,1139,0.914859437751004,0.0734665197350087,0.12195268311991,-0.165560739180014,0.312493778650032,0.546895776992651,0.934032983508246,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","WGCNA_blue",3342,2866,0.857570317175344,0.0880696693549814,0.123392213572772,-0.153779069247653,0.329918407957615,0.475389416534802,0.450774612693653,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","WGCNA_pink",825,704,0.853333333333333,-0.0279965394147752,0.124298102033433,-0.271620819400303,0.215627740570753,0.82179485816715,0.858570714642679,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","WGCNA_black",1012,757,0.74802371541502,-0.0054791071418507,0.106200385449268,-0.213631862622416,0.202673648338715,0.958853667458374,0.960019990004997,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","WGCNA_green",1041,862,0.82804995196926,0.237284526667043,0.189417289240421,-0.133973360244181,0.608542413578268,0.210312045180557,0.209895052473763,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","WGCNA_purple",114,94,0.824561403508772,-0.0054894044565799,0.0824248310976994,-0.167042073408071,0.156063264494911,0.946901008216722,0.968515742128936,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","WGCNA_magenta",151,91,0.602649006622517,-0.0950920299367712,0.149499241499865,-0.388110543276507,0.197926483402965,0.524730591415038,0.399300349825087,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","WGCNA_greenyellow",68,64,0.941176470588235,-0.0132724758384592,0.089805433367199,-0.189291125238169,0.162746173561251,0.882507351672321,0.912543728135932,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","WGCNA_salmon",45,26,0.577777777777778,-0.276130199289266,0.113720336165845,-0.499022058174322,-0.0532383404042094,0.0151760044333249,0.0274862568715642,TRUE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.329835082458771
"GSE102556_brain","brain","WGCNA_cyan",43,28,0.651162790697674,-0.06670304686195,0.143707730233088,-0.348370198118802,0.214964104394902,0.642534778093561,0.579710144927536,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","WGCNA_tan",48,30,0.625,0.0137908407135313,0.132990069122785,-0.246869694767128,0.274451376194191,0.917408795904737,0.906546726636682,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","WGCNA_lightcyan",35,25,0.714285714285714,-0.0170696728196602,0.114782195313191,-0.242042775633514,0.207903429994193,0.881779633873665,0.88055972013993,FALSE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
"GSE102556_brain","brain","WGCNA_midnightblue",40,22,0.55,0.0441267943619704,0.120678345586308,-0.192402762987194,0.280656351711135,0.714621577053905,0.717641179410295,TRUE,2000,20260802,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.999500249875062
