"dataset_id","mapping_method","module","original_module_size","covered_gene_n"
"AD_GSE5281","strict_max_mean","WGCNA_cyan",43,12
"AD_GSE5281","strict_max_mean","WGCNA_tan",48,15
"AD_GSE5281","strict_max_mean","WGCNA_lightcyan",35,9
"AD_GSE5281","strict_max_mean","WGCNA_midnightblue",40,7
"AD_GSE5281","strict_median","hepatic_inflammatory_module",446,443
"AD_GSE5281","strict_median","hepatic_complement_coagulation_module",76,73
"AD_GSE5281","strict_median","hepatic_lipid_dysregulation_module",339,333
"AD_GSE5281","strict_median","hepatic_ECM_fibrosis_module",345,345
"AD_GSE5281","strict_median","hepatic_mitochondrial_dysfunction_module",252,249
"AD_GSE5281","strict_median","hepatic_acute_phase_response_module",270,259
"AD_GSE5281","strict_median","hepatic_endothelial_vascular_activation_module",82,81
"AD_GSE5281","strict_median","hepatic_secretome_hepatokine_module",97,91
"AD_GSE5281","strict_median","WGCNA_turquoise",5967,5652
"AD_GSE5281","strict_median","WGCNA_red",1040,921
"AD_GSE5281","strict_median","WGCNA_brown",1832,1573
"AD_GSE5281","strict_median","WGCNA_yellow",1245,1192
"AD_GSE5281","strict_median","WGCNA_blue",3342,2997
"AD_GSE5281","strict_median","WGCNA_pink",825,751
"AD_GSE5281","strict_median","WGCNA_black",1012,800
"AD_GSE5281","strict_median","WGCNA_green",1041,921
"AD_GSE5281","strict_median","WGCNA_purple",114,98
"AD_GSE5281","strict_median","WGCNA_magenta",151,68
"AD_GSE5281","strict_median","WGCNA_greenyellow",68,61
"AD_GSE5281","strict_median","WGCNA_salmon",45,14
"AD_GSE5281","strict_median","WGCNA_cyan",43,12
"AD_GSE5281","strict_median","WGCNA_tan",48,15
"AD_GSE5281","strict_median","WGCNA_lightcyan",35,9
"AD_GSE5281","strict_median","WGCNA_midnightblue",40,7
"AD_GSE33000","legacy_first_symbol_max_mean","hepatic_inflammatory_module",446,413
"AD_GSE33000","legacy_first_symbol_max_mean","hepatic_complement_coagulation_module",76,75
"AD_GSE33000","legacy_first_symbol_max_mean","hepatic_lipid_dysregulation_module",339,317
"AD_GSE33000","legacy_first_symbol_max_mean","hepatic_ECM_fibrosis_module",345,324
"AD_GSE33000","legacy_first_symbol_max_mean","hepatic_mitochondrial_dysfunction_module",252,219
"AD_GSE33000","legacy_first_symbol_max_mean","hepatic_acute_phase_response_module",270,260
"AD_GSE33000","legacy_first_symbol_max_mean","hepatic_endothelial_vascular_activation_module",82,76
"AD_GSE33000","legacy_first_symbol_max_mean","hepatic_secretome_hepatokine_module",97,93
"AD_GSE33000","legacy_first_symbol_max_mean","WGCNA_turquoise",5967,4064
"AD_GSE33000","legacy_first_symbol_max_mean","WGCNA_red",1040,750
"AD_GSE33000","legacy_first_symbol_max_mean","WGCNA_brown",1832,1163
"AD_GSE33000","legacy_first_symbol_max_mean","WGCNA_yellow",1245,909
"AD_GSE33000","legacy_first_symbol_max_mean","WGCNA_blue",3342,2103
