"dataset_id","module","beta_processed_main","SE_processed_main","P_processed_main","sample_n_processed_main","formula_processed_main","BH_FDR_processed_main","beta_additional_quantile","SE_additional_quantile","P_additional_quantile","sample_n_additional_quantile","formula_additional_quantile","BH_FDR_additional_quantile","score_correlation","FDR_status_change"
"MDD_GSE98793","hepatic_acute_phase_response_module",0.412537540875684,0.150549437191841,0.00672532452974624,192,"score_z ~ diagnosis",0.0402475022370558,0.412537540875684,0.150549437191841,0.00672532452974624,192,"score_z ~ diagnosis",0.0402475022370558,1,FALSE
"MDD_GSE98793","hepatic_complement_coagulation_module",0.534232636873973,0.148521803993797,0.000410413122447215,192,"score_z ~ diagnosis",0.00984991493873317,0.534232636873973,0.148521803993797,0.000410413122447215,192,"score_z ~ diagnosis",0.00984991493873317,1,FALSE
"MDD_GSE98793","hepatic_ECM_fibrosis_module",0.416659523326082,0.150489680387965,0.00618578821376565,192,"score_z ~ diagnosis",0.0402475022370558,0.416659523326082,0.150489680387965,0.00618578821376565,192,"score_z ~ diagnosis",0.0402475022370558,1,FALSE
"MDD_GSE98793","hepatic_endothelial_vascular_activation_module",0.428352126822697,0.150316805017839,0.00485948006623194,192,"score_z ~ diagnosis",0.0402475022370558,0.428352126822697,0.150316805017839,0.00485948006623194,192,"score_z ~ diagnosis",0.0402475022370558,1,FALSE
"MDD_GSE98793","hepatic_inflammatory_module",0.34287034872036,0.151466557433931,0.0247247298549351,192,"score_z ~ diagnosis",0.0988989194197405,0.34287034872036,0.151466557433931,0.0247247298549351,192,"score_z ~ diagnosis",0.0988989194197405,1,FALSE
"MDD_GSE98793","hepatic_lipid_dysregulation_module",0.0932523382012657,0.153346297149879,0.543836766354142,192,"score_z ~ diagnosis",0.794831912374156,0.0932523382012657,0.153346297149879,0.543836766354142,192,"score_z ~ diagnosis",0.794831912374156,1,FALSE
"MDD_GSE98793","hepatic_mitochondrial_dysfunction_module",-0.0814268557993789,0.153381741985472,0.596123934280617,192,"score_z ~ diagnosis",0.794831912374156,-0.0814268557993789,0.153381741985472,0.596123934280617,192,"score_z ~ diagnosis",0.794831912374156,1,FALSE
"MDD_GSE98793","hepatic_secretome_hepatokine_module",0.401484128462705,0.150706633713397,0.00838489629938662,192,"score_z ~ diagnosis",0.0402475022370558,0.401484128462705,0.150706633713397,0.00838489629938662,192,"score_z ~ diagnosis",0.0402475022370558,1,FALSE
"MDD_GSE98793","WGCNA_black",-0.290645575415922,0.15204029330015,0.0574278428887376,192,"score_z ~ diagnosis",0.196895461332815,-0.290645575415922,0.15204029330015,0.0574278428887376,192,"score_z ~ diagnosis",0.196895461332815,1,FALSE
"MDD_GSE98793","WGCNA_blue",0.0897548058646816,0.153357281069304,0.559063305215665,192,"score_z ~ diagnosis",0.794831912374156,0.0897548058646816,0.153357281069304,0.559063305215665,192,"score_z ~ diagnosis",0.794831912374156,1,FALSE
"MDD_GSE98793","WGCNA_brown",0.0284703826544015,0.153481559621164,0.853037036903945,192,"score_z ~ diagnosis",0.930585858440667,0.0284703826544015,0.153481559621164,0.853037036903945,192,"score_z ~ diagnosis",0.930585858440667,1,FALSE
"MDD_GSE98793","WGCNA_cyan",0.018847760183386,0.153489366371541,0.902399051626904,192,"score_z ~ diagnosis",0.941633793001987,0.018847760183386,0.153489366371541,0.902399051626904,192,"score_z ~ diagnosis",0.941633793001987,1,FALSE
"MDD_GSE98793","WGCNA_green",-0.102976395752241,0.153313548031784,0.502608465391279,192,"score_z ~ diagnosis",0.794831912374156,-0.102976395752241,0.153313548031784,0.502608465391279,192,"score_z ~ diagnosis",0.794831912374156,1,FALSE
"MDD_GSE98793","WGCNA_greenyellow",0.0714647009545786,0.153407872173591,0.64185811241149,192,"score_z ~ diagnosis",0.810768141993461,0.0714647009545786,0.153407872173591,0.64185811241149,192,"score_z ~ diagnosis",0.810768141993461,1,FALSE
