"dataset_id","module","comparison_mapping","beta_legacy","SE_legacy","P_legacy","BH_FDR_legacy","beta_comparator","SE_comparator","P_comparator","BH_FDR_comparator","sample_n","formula","module_score_correlation","FDR_status_change"
"MDD_GSE98793","hepatic_acute_phase_response_module","strict_max_iqr",0.412537540875684,0.150549437191841,0.00672532452974624,0.0402475022370558,0.400606292871221,0.150718927985907,0.00853109671035107,0.0511865802621064,192,"score_z ~ diagnosis",0.922813629592925,TRUE
"MDD_GSE98793","hepatic_complement_coagulation_module","strict_max_iqr",0.534232636873973,0.148521803993797,0.000410413122447215,0.00984991493873317,0.56067024619781,0.148008025654167,0.000203600167083829,0.00488640401001188,192,"score_z ~ diagnosis",0.94121325201133,FALSE
"MDD_GSE98793","hepatic_ECM_fibrosis_module","strict_max_iqr",0.416659523326082,0.150489680387965,0.00618578821376565,0.0402475022370558,0.428647349407627,0.150312375612743,0.00482957956991865,0.0386366365593492,192,"score_z ~ diagnosis",0.936195306993329,FALSE
"MDD_GSE98793","hepatic_endothelial_vascular_activation_module","strict_max_iqr",0.428352126822697,0.150316805017839,0.00485948006623194,0.0402475022370558,0.434594625945961,0.150222466802071,0.00426137160467766,0.0386366365593492,192,"score_z ~ diagnosis",0.950530445276212,FALSE
"MDD_GSE98793","hepatic_inflammatory_module","strict_max_iqr",0.34287034872036,0.151466557433931,0.0247247298549351,0.0988989194197405,0.322591590504784,0.151700833806396,0.0347523693153258,0.139009477261303,192,"score_z ~ diagnosis",0.932341817698289,FALSE
"MDD_GSE98793","hepatic_lipid_dysregulation_module","strict_max_iqr",0.0932523382012657,0.153346297149879,0.543836766354142,0.794831912374156,0.201782148638893,0.15279581257163,0.188223262620718,0.501928700321915,192,"score_z ~ diagnosis",0.958765112279958,FALSE
"MDD_GSE98793","hepatic_mitochondrial_dysfunction_module","strict_max_iqr",-0.0814268557993789,0.153381741985472,0.596123934280617,0.794831912374156,-0.0933133360722891,0.153346101855472,0.543573038410067,0.652287646092081,192,"score_z ~ diagnosis",0.971192936967771,FALSE
"MDD_GSE98793","hepatic_secretome_hepatokine_module","strict_max_iqr",0.401484128462705,0.150706633713397,0.00838489629938662,0.0402475022370558,0.384524556409056,0.15093922383596,0.011640075546019,0.055872362620891,192,"score_z ~ diagnosis",0.945372366621462,TRUE
"MDD_GSE98793","WGCNA_black","strict_max_iqr",-0.290645575415922,0.15204029330015,0.0574278428887376,0.196895461332815,-0.261396936133548,0.152319507369075,0.0877719421831023,0.294003991664016,192,"score_z ~ diagnosis",0.975383641112371,FALSE
"MDD_GSE98793","WGCNA_blue","strict_max_iqr",0.0897548058646816,0.153357281069304,0.559063305215665,0.794831912374156,0.093764218680793,0.153344654314445,0.541625581035443,0.652287646092081,192,"score_z ~ diagnosis",0.996376556431256,FALSE
"MDD_GSE98793","WGCNA_brown","strict_max_iqr",0.0284703826544015,0.153481559621164,0.853037036903945,0.930585858440667,-0.0741416596193708,0.153401185652264,0.62942596493696,0.671013955114732,192,"score_z ~ diagnosis",0.978028876434895,FALSE
"MDD_GSE98793","WGCNA_cyan","strict_max_iqr",0.018847760183386,0.153489366371541,0.902399051626904,0.941633793001987,0.0820111946403744,0.153380103423071,0.593487647350714,0.671013955114732,192,"score_z ~ diagnosis",0.38385799772497,FALSE
"MDD_GSE98793","WGCNA_green","strict_max_iqr",-0.102976395752241,0.153313548031784,0.502608465391279,0.794831912374156,-0.102071575204469,0.153316732590709,0.506374347079897,0.652287646092081,192,"score_z ~ diagnosis",0.995843742076788,FALSE
"MDD_GSE98793","WGCNA_greenyellow","strict_max_iqr",0.0714647009545786,0.153407872173591,0.64185811241149,0.810768141993461,0.0996849489943102,0.153324997291512,0.516377714383095,0.652287646092081,192,"score_z ~ diagnosis",0.97402645710887,FALSE
"MDD_GSE98793","WGCNA_lightcyan","strict_max_iqr",0.000813780269099875,0.153495445462375,0.995775471532465,0.995775471532465,0.149224633431561,0.153113210760384,0.330996283206395,0.567763989878646,192,"score_z ~ diagnosis",0.91933411735143,FALSE
"MDD_GSE98793","WGCNA_magenta","strict_max_iqr",0.138178668175293,0.153167764158013,0.36812505346463,0.679615483319318,0.149163271741127,0.153113525449574,0.331195660762543,0.567763989878646,192,"score_z ~ diagnosis",0.979546882932668,FALSE
"MDD_GSE98793","WGCNA_midnightblue","strict_max_iqr",0.154549828724256,0.153085405307338,0.313987189643586,0.679615483319318,0.253395089696434,0.152390658446219,0.098001330554672,0.294003991664016,192,"score_z ~ diagnosis",0.85959153424327,FALSE
"MDD_GSE98793","WGCNA_pink","strict_max_iqr",0.179132381370027,0.152944332665339,0.242974666983143,0.583139200759544,0.178101577820318,0.152950668482872,0.245706544007921,0.536087005108191,192,"score_z ~ diagnosis",0.984178433454612,FALSE
"MDD_GSE98793","WGCNA_purple","strict_max_iqr",0.217084600281635,0.152685379583408,0.156730327148747,0.470190981446242,0.16676884788657,0.153017898013591,0.27715294132407,0.554305882648139,192,"score_z ~ diagnosis",0.965809161164688,FALSE
"MDD_GSE98793","WGCNA_red","strict_max_iqr",0.182818406138013,0.152921375229184,0.233379403045811,0.583139200759544,0.186204500819064,0.152899870639075,0.224802642886638,0.536087005108191,192,"score_z ~ diagnosis",0.969641717387193,FALSE
"MDD_GSE98793","WGCNA_salmon","strict_max_iqr",0.0386480155843001,0.1534698467022,0.801446141857837,0.930585858440667,0.0712081172760904,0.15340850014249,0.643055040318285,0.671013955114732,192,"score_z ~ diagnosis",0.978281206896079,FALSE
"MDD_GSE98793","WGCNA_tan","strict_max_iqr",-0.0308012401259634,0.15347919083375,0.841158180568448,0.930585858440667,-0.04939205819101,0.15345362619556,0.747905322362626,0.747905322362626,192,"score_z ~ diagnosis",0.944812100765002,FALSE
"MDD_GSE98793","WGCNA_turquoise","strict_max_iqr",-0.0864852473677646,0.153367168688459,0.573480527722459,0.794831912374156,-0.0961275246447727,0.153336952648076,0.53147482368793,0.652287646092081,192,"score_z ~ diagnosis",0.985850326324429,FALSE
"MDD_GSE98793","WGCNA_yellow","strict_max_iqr",0.13888801671483,0.153164387416593,0.365666152022016,0.679615483319318,0.120444971549833,0.153246542140578,0.432872600415759,0.652287646092081,192,"score_z ~ diagnosis",0.989060298938899,FALSE
"MDD_GSE98793","hepatic_acute_phase_response_module","strict_max_mean",0.412537540875684,0.150549437191841,0.00672532452974624,0.0402475022370558,0.383602404267633,0.15095157284514,0.0118453143723246,0.056857508987158,192,"score_z ~ diagnosis",0.994498243206526,TRUE
"MDD_GSE98793","hepatic_complement_coagulation_module","strict_max_mean",0.534232636873973,0.148521803993797,0.000410413122447215,0.00984991493873317,0.538350894207224,0.148443517784167,0.000368795864695587,0.0088511007526941,192,"score_z ~ diagnosis",0.989129141330387,FALSE
"MDD_GSE98793","hepatic_ECM_fibrosis_module","strict_max_mean",0.416659523326082,0.150489680387965,0.00618578821376565,0.0402475022370558,0.423380114982387,0.150390925297294,0.00538863891509242,0.0431091113207394,192,"score_z ~ diagnosis",0.998568816848,FALSE
"MDD_GSE98793","hepatic_endothelial_vascular_activation_module","strict_max_mean",0.428352126822697,0.150316805017839,0.00485948006623194,0.0402475022370558,0.428456698556915,0.150315236428081,0.00484886996615805,0.0431091113207394,192,"score_z ~ diagnosis",0.999766780231284,FALSE
"MDD_GSE98793","hepatic_inflammatory_module","strict_max_mean",0.34287034872036,0.151466557433931,0.0247247298549351,0.0988989194197405,0.334038171678449,0.151570393579348,0.028736508035992,0.114946032143968,192,"score_z ~ diagnosis",0.999331328842544,FALSE
"MDD_GSE98793","hepatic_lipid_dysregulation_module","strict_max_mean",0.0932523382012657,0.153346297149879,0.543836766354142,0.794831912374156,0.093352912537888,0.153345975076668,0.543401960974121,0.74200049021603,192,"score_z ~ diagnosis",0.998790982687099,FALSE
"MDD_GSE98793","hepatic_mitochondrial_dysfunction_module","strict_max_mean",-0.0814268557993789,0.153381741985472,0.596123934280617,0.794831912374156,-0.0833612646039732,0.153376272774947,0.587417054754357,0.74200049021603,192,"score_z ~ diagnosis",0.999822372317038,FALSE
"MDD_GSE98793","hepatic_secretome_hepatokine_module","strict_max_mean",0.401484128462705,0.150706633713397,0.00838489629938662,0.0402475022370558,0.402478528826031,0.150692673202851,0.00822197183417149,0.0493318310050289,192,"score_z ~ diagnosis",0.993231697597099,FALSE
"MDD_GSE98793","WGCNA_black","strict_max_mean",-0.290645575415922,0.15204029330015,0.0574278428887376,0.196895461332815,-0.2855413237757,0.15209118892809,0.061990929341929,0.212540329172328,192,"score_z ~ diagnosis",0.997933864913274,FALSE
"MDD_GSE98793","WGCNA_blue","strict_max_mean",0.0897548058646816,0.153357281069304,0.559063305215665,0.794831912374156,0.0903528895324263,0.153355432614515,0.556445049732096,0.74200049021603,192,"score_z ~ diagnosis",0.999936157893568,FALSE
"MDD_GSE98793","WGCNA_brown","strict_max_mean",0.0284703826544015,0.153481559621164,0.853037036903945,0.930585858440667,0.0176842517041049,0.153490095124317,0.908396946562833,0.947892465978608,192,"score_z ~ diagnosis",0.998881691496042,FALSE
