"module","original_gene_n","HPA_gene_n","HPA_coverage_fraction","liver_enriched_n","liver_enriched_fraction","liver_enhanced_n","liver_enhanced_fraction","tissue_enriched_any_n","tissue_enriched_any_fraction","median_liver_nTPM","median_liver_vs_nonliver_log2_ratio","P_liver_enriched","P_liver_enhanced","P_tissue_enriched_any","specificity_definition","enrichment_definition","background_universe","BH_FDR_liver_enriched","BH_FDR_liver_enhanced","BH_FDR_tissue_enriched_any"
"WGCNA_pink",825,727,0.881212121212121,0,0,5,0.00687757909215956,69,0.0949105914718019,0.9,-0.884522782580064,1,0.999999999999984,0.995945765037868,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1,1,1
"WGCNA_black",1012,698,0.689723320158103,6,0.00859598853868195,37,0.0530085959885387,80,0.114613180515759,6.3,0.136191510394404,0.904113532322267,0.727605241722174,0.818283763485839,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1,1,1
"WGCNA_green",1041,868,0.833813640730067,19,0.021889400921659,86,0.0990783410138249,35,0.0403225806451613,65.2,0.540097065321791,0.0226711254358849,5.90410484107358e-07,1,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",0.0777295729230339,2.02426451693951e-06,1
"WGCNA_purple",114,99,0.868421052631579,0,0,0,0,17,0.171717171717172,0.1,-0.0641303374197154,1,1,0.108111703825378,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1,1,0.288297876867675
"WGCNA_magenta",151,59,0.390728476821192,0,0,0,0,19,0.322033898305085,0,0,1,1,6.32177107049912e-05,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1,1,0.000379306264229947
"WGCNA_greenyellow",68,64,0.941176470588235,0,0,0,0,8,0.125,0.1,-0.231700260420121,1,1,0.557657303114622,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1,1,1
"WGCNA_salmon",45,12,0.266666666666667,0,0,0,0,5,0.416666666666667,0,0,1,1,0.0113007901600631,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1,1,0.0452031606402524
"WGCNA_cyan",43,10,0.232558139534884,0,0,0,0,5,0.5,0,0,1,1,0.00445990868298616,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1,1,0.0214075616783336
"WGCNA_tan",48,17,0.354166666666667,0,0,0,0,6,0.352941176470588,0,0,1,1,0.0138289928611139,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1,1,0.0474136898095333
"WGCNA_lightcyan",35,12,0.342857142857143,0,0,0,0,3,0.25,0,0,1,1,0.182278392584381,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1,1,0.437468142202514
"WGCNA_midnightblue",40,4,0.1,0,0,0,0,2,0.5,0,0,1,1,0.0789607506566204,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1,1,0.236882251969861
