"module","gene"
"hepatic_inflammatory_module","EIF1"
"hepatic_inflammatory_module","ETS2"
"hepatic_inflammatory_module","F2RL1"
"hepatic_inflammatory_module","F3"
"hepatic_inflammatory_module","FJX1"
"hepatic_inflammatory_module","FOSL1"
"hepatic_inflammatory_module","FOSL2"
"hepatic_inflammatory_module","FUT4"
"hepatic_inflammatory_module","G0S2"
"hepatic_inflammatory_module","GCH1"
"hepatic_inflammatory_module","GEM"
"hepatic_inflammatory_module","GFPT2"
"hepatic_inflammatory_module","GPR183"
"hepatic_inflammatory_module","HBEGF"
"hepatic_inflammatory_module","HES1"
"hepatic_inflammatory_module","ICOSLG"
"hepatic_inflammatory_module","ID2"
"hepatic_inflammatory_module","IER2"
"hepatic_inflammatory_module","IER5"
"hepatic_inflammatory_module","IFIH1"
"hepatic_inflammatory_module","IFIT2"
"hepatic_inflammatory_module","IFNGR2"
"hepatic_inflammatory_module","IL15RA"
"hepatic_inflammatory_module","IL23A"
"hepatic_inflammatory_module","INHBA"
"hepatic_inflammatory_module","IRS2"
"hepatic_inflammatory_module","JAG1"
"hepatic_inflammatory_module","JUNB"
"hepatic_inflammatory_module","KDM6B"
"hepatic_inflammatory_module","KLF10"
"hepatic_inflammatory_module","KLF2"
"hepatic_inflammatory_module","KLF4"
"hepatic_inflammatory_module","KLF9"
"hepatic_inflammatory_module","KYNU"
"hepatic_inflammatory_module","LAMB3"
"hepatic_inflammatory_module","LDLR"
"hepatic_inflammatory_module","LITAF"
"hepatic_inflammatory_module","MAFF"
"hepatic_inflammatory_module","MAP2K3"
"hepatic_inflammatory_module","MAP3K8"
"hepatic_inflammatory_module","MARCKS"
"hepatic_inflammatory_module","MCL1"
"hepatic_inflammatory_module","MSC"
"hepatic_inflammatory_module","MXD1"
"hepatic_inflammatory_module","MYC"
"hepatic_inflammatory_module","NAMPT"
"hepatic_inflammatory_module","NFAT5"
"hepatic_inflammatory_module","NFIL3"
"hepatic_inflammatory_module","NINJ1"
"hepatic_inflammatory_module","NR4A3"
"hepatic_inflammatory_module","OLR1"
"hepatic_inflammatory_module","PANX1"
"hepatic_inflammatory_module","PDE4B"
"hepatic_inflammatory_module","PDLIM5"
"hepatic_inflammatory_module","PER1"
"hepatic_inflammatory_module","PFKFB3"
"hepatic_inflammatory_module","PHLDA1"
"hepatic_inflammatory_module","PHLDA2"
"hepatic_inflammatory_module","PLAUR"
"hepatic_inflammatory_module","PLEK"
"hepatic_inflammatory_module","PLK2"
"hepatic_inflammatory_module","PLPP3"
"hepatic_inflammatory_module","PMEPA1"
"hepatic_inflammatory_module","PNRC1"
"hepatic_inflammatory_module","PPP1R15A"
"hepatic_inflammatory_module","PTGER4"
"hepatic_inflammatory_module","PTPRE"
"hepatic_inflammatory_module","RCAN1"
"hepatic_inflammatory_module","REL"
"hepatic_inflammatory_module","RHOB"
"hepatic_inflammatory_module","RIGI"
"hepatic_inflammatory_module","RIPK2"
"hepatic_inflammatory_module","RNF19B"
"hepatic_inflammatory_module","SAT1"
"hepatic_inflammatory_module","SDC4"
"hepatic_inflammatory_module","SERPINB8"
"hepatic_inflammatory_module","SERPINE1"
"hepatic_inflammatory_module","SGK1"
"hepatic_inflammatory_module","SIK1"
"hepatic_inflammatory_module","SLC16A6"
"hepatic_inflammatory_module","SLC2A3"
"hepatic_inflammatory_module","SLC2A6"
"hepatic_inflammatory_module","SMAD3"
"hepatic_inflammatory_module","SNN"
"hepatic_inflammatory_module","SPHK1"
"hepatic_inflammatory_module","SPSB1"
"hepatic_inflammatory_module","SQSTM1"
"hepatic_inflammatory_module","TANK"
"hepatic_inflammatory_module","TAP1"
"hepatic_inflammatory_module","TGIF1"
"hepatic_inflammatory_module","TIPARP"
"hepatic_inflammatory_module","TNC"
"hepatic_inflammatory_module","TNFAIP2"
"hepatic_inflammatory_module","TNFAIP6"
"hepatic_inflammatory_module","TNFAIP8"
"hepatic_inflammatory_module","TNFRSF9"
"hepatic_inflammatory_module","TNFSF9"
"hepatic_inflammatory_module","TNIP1"
"hepatic_inflammatory_module","TNIP2"
"hepatic_inflammatory_module","TRAF1"
"hepatic_inflammatory_module","TRIB1"
"hepatic_inflammatory_module","TRIP10"
"hepatic_inflammatory_module","TSC22D1"
"hepatic_inflammatory_module","TUBB2A"
"hepatic_inflammatory_module","YRDC"
"hepatic_inflammatory_module","ZBTB10"
"hepatic_inflammatory_module","ZC3H12A"
"hepatic_inflammatory_module","ZFP36"
"hepatic_inflammatory_module","ABI1"
"hepatic_inflammatory_module","ACVR1B"
"hepatic_inflammatory_module","ACVR2A"
"hepatic_inflammatory_module","ADGRE1"
"hepatic_inflammatory_module","ADM"
"hepatic_inflammatory_module","ADORA2B"
"hepatic_inflammatory_module","ADRM1"
"hepatic_inflammatory_module","AHR"
"hepatic_inflammatory_module","APLNR"
"hepatic_inflammatory_module","AQP9"
"hepatic_inflammatory_module","ATP2A2"
"hepatic_inflammatory_module","ATP2C1"
"hepatic_inflammatory_module","AXL"
"hepatic_inflammatory_module","BDKRB1"
"hepatic_inflammatory_module","BEST1"
"hepatic_inflammatory_module","BST2"
"hepatic_inflammatory_module","C3AR1"
"hepatic_inflammatory_module","C5AR1"
"hepatic_inflammatory_module","CALCRL"
"hepatic_inflammatory_module","CCL22"
"hepatic_inflammatory_module","CCL24"
"hepatic_inflammatory_module","CCR7"
"hepatic_inflammatory_module","CD40"
"hepatic_inflammatory_module","CD48"
"hepatic_inflammatory_module","CD55"
"hepatic_inflammatory_module","CD70"
"hepatic_inflammatory_module","CD82"
"hepatic_inflammatory_module","CHST2"
"hepatic_inflammatory_module","CLEC5A"
"hepatic_inflammatory_module","CMKLR1"
"hepatic_inflammatory_module","CSF3R"
"hepatic_inflammatory_module","CXCR6"
"hepatic_inflammatory_module","CYBB"
"hepatic_inflammatory_module","DCBLD2"
"hepatic_inflammatory_module","EBI3"
"hepatic_inflammatory_module","EIF2AK2"
"hepatic_inflammatory_module","EMP3"
"hepatic_inflammatory_module","EREG"
"hepatic_inflammatory_module","FFAR2"
"hepatic_inflammatory_module","FPR1"
"hepatic_inflammatory_module","FZD5"
"hepatic_inflammatory_module","GABBR1"
"hepatic_inflammatory_module","GNA15"
"hepatic_inflammatory_module","GNAI3"
"hepatic_inflammatory_module","GP1BA"
"hepatic_inflammatory_module","GPC3"
"hepatic_inflammatory_module","GPR132"
"hepatic_inflammatory_module","HAS2"
"hepatic_inflammatory_module","HIF1A"
"hepatic_inflammatory_module","HPN"
"hepatic_inflammatory_module","HRH1"
"hepatic_inflammatory_module","ICAM4"
"hepatic_inflammatory_module","IFITM1"
"hepatic_inflammatory_module","IFNAR1"
"hepatic_inflammatory_module","IL10RA"
"hepatic_inflammatory_module","IL15"
"hepatic_inflammatory_module","IL18R1"
"hepatic_inflammatory_module","IL18RAP"
"hepatic_inflammatory_module","IL1R1"
"hepatic_inflammatory_module","IL2RB"
"hepatic_inflammatory_module","IL4R"
"hepatic_inflammatory_module","IRAK2"
"hepatic_inflammatory_module","IRF7"
"hepatic_inflammatory_module","ITGA5"
"hepatic_inflammatory_module","ITGB3"
"hepatic_inflammatory_module","ITGB8"
"hepatic_inflammatory_module","KCNA3"
"hepatic_inflammatory_module","KCNJ2"
"hepatic_inflammatory_module","KCNMB2"
"hepatic_inflammatory_module","KIF1B"
"hepatic_inflammatory_module","LAMP3"
"hepatic_inflammatory_module","LCK"
"hepatic_inflammatory_module","LCP2"
"hepatic_inflammatory_module","LPAR1"
"hepatic_inflammatory_module","LTA"
"hepatic_inflammatory_module","LY6E"
"hepatic_inflammatory_module","LYN"
"hepatic_inflammatory_module","MARCO"
"hepatic_inflammatory_module","MEFV"
"hepatic_inflammatory_module","MEP1A"
"hepatic_inflammatory_module","MET"
"hepatic_inflammatory_module","MMP14"
"hepatic_inflammatory_module","MSR1"
"hepatic_inflammatory_module","NDP"
"hepatic_inflammatory_module","NMI"
"hepatic_inflammatory_module","NMUR1"
"hepatic_inflammatory_module","NOD2"
"hepatic_inflammatory_module","NPFFR2"
"hepatic_inflammatory_module","OPRK1"
"hepatic_inflammatory_module","OSMR"
"hepatic_inflammatory_module","P2RX4"
"hepatic_inflammatory_module","P2RX7"
"hepatic_inflammatory_module","P2RY2"
"hepatic_inflammatory_module","PCDH7"
"hepatic_inflammatory_module","PDPN"
"hepatic_inflammatory_module","PIK3R5"
"hepatic_inflammatory_module","PROK2"
"hepatic_inflammatory_module","PSEN1"
"hepatic_inflammatory_module","PTAFR"
