"relative_path","baseline_sha256","final_sha256","baseline_size_bytes","final_size_bytes","hash_status","error"
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM119687.CEL.gz","e28e44511acf6c40a682008d3332ee4edc37518cb956a5d6c9400d9057a92c76","e28e44511acf6c40a682008d3332ee4edc37518cb956a5d6c9400d9057a92c76","8028831","8028831","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM119688.CEL.gz","987cf91f35920def734ce8c38a3a47fe262958b2a23b363a4839953f51ba6656","987cf91f35920def734ce8c38a3a47fe262958b2a23b363a4839953f51ba6656","7950999","7950999","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238763.CEL.gz","00543f081f7de8d7e3e04ce028b1ac0b2aa53be4b30e3876c5674932df0daf2c","00543f081f7de8d7e3e04ce028b1ac0b2aa53be4b30e3876c5674932df0daf2c","4157434","4157434","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238763.CHP.gz","2dd893f7b082b8dbf4023f05e6e1101511bf90f54e1356cee06ea7ba78197437","2dd893f7b082b8dbf4023f05e6e1101511bf90f54e1356cee06ea7ba78197437","311281","311281","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238790.CEL.gz","b6f69bdc1b127f0caf1604a25b0b28fbd5eb63fc4af6f7df84f3bb67ad175b91","b6f69bdc1b127f0caf1604a25b0b28fbd5eb63fc4af6f7df84f3bb67ad175b91","4434672","4434672","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238790.CHP.gz","f275593537a26cf46158bb17ce2f41b31a43744ca87fd455daff380b0c09929d","f275593537a26cf46158bb17ce2f41b31a43744ca87fd455daff380b0c09929d","311324","311324","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238791.CEL.gz","f729f73708abc5c8b9b52433a02eb8b596472d5432a97afa265fecbbde2d84d2","f729f73708abc5c8b9b52433a02eb8b596472d5432a97afa265fecbbde2d84d2","4746727","4746727","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238791.CHP.gz","bf35458c3796f697c45f7bb1ddba0c14e49a90e1e969f142ed27df4e49006338","bf35458c3796f697c45f7bb1ddba0c14e49a90e1e969f142ed27df4e49006338","304322","304322","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238792.CEL.gz","6f32f62b4626f56952b48bde92720fa8bb575cf7ae933e6a3999284733e4dc41","6f32f62b4626f56952b48bde92720fa8bb575cf7ae933e6a3999284733e4dc41","4637406","4637406","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE5281\GSE5281_RAW\GSM238792.CHP.gz","872af6c1e3ba7ebb80b694a88d64339246ae0bb5fe20c354a2234e75f0b9cd45","872af6c1e3ba7ebb80b694a88d64339246ae0bb5fe20c354a2234e75f0b9cd45","306348","306348","unchanged",""
